TP,9591,9591,9591,9591,9591,9591,9591,9591,9592,9592,9593,9593,9593,9594,9596,9596,9597,9597,9597,9598,9599,9599,9600,9604,9606,9610,9611,9619,9625,9629,9633,9638,9645,9650,9656,9659,9664,9670,9674,9682,9689,9698,9707,9721,9730,9740,9749,9765,9775,9786,9797,9810,9816,9825,9830,9836,9851,9862,9869,9877,9885,9896,9904,9912,9915,9922,9925,9929,9934,9937,9939,9943,9946,9946,9950,9954,9956,9959,9962,9965,9967,9969,9971,9972,9972,9977,9978,9979,9982,9985,9985,9986,9987,9987,9987,9987,9989,9989,9989,9989,9990,9990,9991,9991,9992,9992,9992,9993,9993,9993,9993,9993,9995,9996,9996,9996,9996,9996,9997,9997,9998,9998,9998,9998,9998,9998,9998,9998,9999,9999,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
FP,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9933,9933,9934,9937,9938,9940,9941,9943,9943,9947,9952,9954,9956,9961,9965,9972,9976,9984,9991,10000,10020,10029,10049,10068,10092,10119,10132,10160,10189,10228,10265,10306,10348,10385,10423,10459,10540,10597,10683,10754,10832,10895,10991,11094,11184,11276,11388,11517,11639,11775,11891,12037,12187,12327,12494,12641,12807,12978,13144,13325,13526,13743,13941,14161,14359,14559,14789,14998,15245,15481,15704,15949,16185,16413,16642,16886,17101,17344,17594,17867,18151,18398,18696,19007,19257,19535,19831,20114,20395,20696,21009,21319,21631,21935,22231,22567,22890,23170,23471,23792,24085,24400,24718,25019,25330,25627,25940,26272,26570,26872,27182,27467,27754,28055,28321,28629,28915,29221,29505,29781,30074,30379,30665,30929,31212,31486,31787,32062,32340,32617,32909,33189,33472,33740,34005,34265,34512,34778,35029,35294,35548,35806,36070,36314,36548,36789,37029,37245,37472,37723,37922,38143,38369,38601,38852,39053,39268,39503,39706,39925,40137,40345,40549,40743,40934,41129,41317,41517,41700,41871,42062,42220,42400,42584
TN,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47302,47301,47301,47300,47297,47296,47294,47293,47291,47291,47287,47282,47280,47278,47273,47269,47262,47258,47250,47243,47234,47214,47205,47185,47166,47142,47115,47102,47074,47045,47006,46969,46928,46886,46849,46811,46775,46694,46637,46551,46480,46402,46339,46243,46140,46050,45958,45846,45717,45595,45459,45343,45197,45047,44907,44740,44593,44427,44256,44090,43909,43708,43491,43293,43073,42875,42675,42445,42236,41989,41753,41530,41285,41049,40821,40592,40348,40133,39890,39640,39367,39083,38836,38538,38227,37977,37699,37403,37120,36839,36538,36225,35915,35603,35299,35003,34667,34344,34064,33763,33442,33149,32834,32516,32215,31904,31607,31294,30962,30664,30362,30052,29767,29480,29179,28913,28605,28319,28013,27729,27453,27160,26855,26569,26305,26022,25748,25447,25172,24894,24617,24325,24045,23762,23494,23229,22969,22722,22456,22205,21940,21686,21428,21164,20920,20686,20445,20205,19989,19762,19511,19312,19091,18865,18633,18382,18181,17966,17731,17528,17309,17097,16889,16685,16491,16300,16105,15917,15717,15534,15363,15172,15014,14834,14650
FN,410,410,410,410,410,410,410,410,409,409,408,408,408,407,405,405,404,404,404,403,402,402,401,397,395,391,390,382,376,372,368,363,356,351,345,342,337,331,327,319,312,303,294,280,271,261,252,236,226,215,204,191,185,176,171,165,150,139,132,124,116,105,97,89,86,79,76,72,67,64,62,58,55,55,51,47,45,42,39,36,34,32,30,29,29,24,23,22,19,16,16,15,14,14,14,14,12,12,12,12,11,11,10,10,9,9,9,8,8,8,8,8,6,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@@PR_threshold,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35000000000000003,0.36,0.37,0.38,0.39,0.4,0.41000000000000003,0.42,0.43,0.44,0.45,0.46,0.47000000000000003,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.5700000000000001,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.6900000000000001,0.7000000000000001,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.8200000000000001,0.8300000000000001,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.9400000000000001,0.9500000000000001,0.96,0.97,0.98,0.99,1.0,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.1300000000000001,1.1400000000000001,1.1500000000000001,1.16,1.17,1.18,1.19,1.2,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.3,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.3800000000000001,1.3900000000000001,1.4000000000000001,1.41,1.42,1.43,1.44,1.45,1.46,1.47,1.48,1.49,1.5,1.51,1.52,1.53,1.54,1.55,1.56,1.57,1.58,1.59,1.6,1.61,1.62,1.6300000000000001,1.6400000000000001,1.6500000000000001,1.6600000000000001,1.67,1.68,1.69,1.7,1.71,1.72,1.73,1.74,1.75,1.76,1.77,1.78,1.79,1.8,1.81,1.82,1.83,1.84,1.85,1.86,1.87,1.8800000000000001,1.8900000000000001,1.9000000000000001,1.9100000000000001,1.92,1.93,1.94,1.95,1.96,1.97,1.98,1.99
@@Precision,0.4912667110587512,0.4912667110587512,0.4912667110587512,0.4912667110587512,0.4912667110587512,0.4912667110587512,0.4912667110587512,0.4912667110587512,0.49129276787543535,0.49129276787543535,0.4913188220230474,0.4913188220230474,0.4913188220230474,0.49134487350199735,0.49139696845555103,0.49139696845555103,0.49142301193097443,0.49142301193097443,0.49142301193097443,0.49144905273937534,0.49147509088116326,0.49147509088116326,0.4915011263567479,0.4916052416052416,0.49165728324291125,0.4917613345614574,0.4917621776504298,0.4919701309328969,0.4921008231504678,0.49212920372074004,0.492207858566246,0.492287261211564,0.4924435821505157,0.49252283978972083,0.4926781978672381,0.4926553095991023,0.4926590538336052,0.4927639624949042,0.49281711665817624,0.492898233467393,0.49297852854380786,0.49303507880020336,0.49316669206929836,0.49332656686120274,0.49338268850463973,0.49341438703140833,0.49314583438717186,0.49333131251894513,0.49308918482647296,0.49289815654276214,0.49258384031374125,0.4922474785488484,0.49207940645678766,0.49161871403552665,0.49103351815775015,0.4902312599681021,0.4897096838337642,0.488992463308211,0.4881535341544245,0.487464218734577,0.48675398857593066,0.4861704740849914,0.48444531402856583,0.48330001462772443,0.4813574133411011,0.4798800541690849,0.478151948740184,0.47680560891279294,0.4747431302270012,0.4724929865436736,0.47052975429626476,0.4685894716998916,0.46620418111934003,0.4634021339048595,0.4608828570105146,0.4580974734226149,0.45571474344303564,0.4527641389343517,0.44977199873583457,0.44702135295173157,0.44374693913895197,0.4409111012826183,0.4377469488102555,0.4345098039215686,0.4313895137567053,0.4281606729036134,0.4245234853641933,0.4206643621954304,0.41725536094971366,0.4135260498633314,0.41016266841932303,0.4068445711957629,0.40309170164675495,0.3997198318991395,0.39580691185795813,0.3921391550180619,0.3887829369867279,0.3851106484694271,0.3816382669825017,0.3783425498068328,0.3751126464403725,0.3717070992707248,0.3687804517938875,0.36550210353027257,0.36221271659537446,0.358663268602606,0.3550438830259745,0.3519777394244655,0.34832165638397994,0.3445862068965517,0.34164102564102566,0.33842454619344353,0.3351103064440421,0.33198272999003653,0.32891316508176766,0.3256874755636648,0.32239961296565073,0.31920804726169566,0.31608068799797645,0.31307152699486407,0.31021750597288156,0.3070167357592507,0.3040014594989054,0.30143511818620355,0.29872419253637694,0.2958863569103285,0.293342722178212,0.2906564335135764,0.2880145173834145,0.28553886572619797,0.2830455703368242,0.28068599657563087,0.27824151363383415,0.27569475077194533,0.27344818156959255,0.2712085050987199,0.2689473401108063,0.26690154002188593,0.26487259628118875,0.2627775587964788,0.260953524177344,0.2588728675347537,0.2569703199280483,0.25496545218122946,0.25313251487153526,0.2513762851612579,0.24953835404501673,0.24765348324624187,0.24593026115182215,0.24434400195455655,0.24266614903064568,0.24106346566394293,0.2393270795443668,0.2377624040130281,0.23620131787156656,0.23466610352433245,0.23306921463528316,0.2315582310720074,0.2300508361511743,0.22864132050021718,0.2272644639367359,0.225929607373605,0.224675937366612,0.22334129837647113,0.2220963801909838,0.2207969974610884,0.21956574238731916,0.2183290763420438,0.217077988322372,0.21593436251754292,0.2148488689338117,0.21374225261808077,0.21265149904316394,0.21167929560174406,0.21066711604490973,0.20955913167379098,0.20868893850551928,0.20773097374543037,0.20676038867066363,0.20577342496193574,0.20471618938447997,0.20387735964447343,0.2029876798798433,0.20202407886231416,0.20119902629408332,0.20031646837319234,0.19946946427859108,0.19864537401183807,0.1978437190900099,0.19708734037521677,0.19634828703249238,0.19559945237629572,0.1948828870961456,0.19412632477968866,0.19343919846811475,0.1928015114127082,0.19209419357317098,0.19151299285727963,0.19085513635235968,0.1901873157744604
@@Recall,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.9591040895910409,0.9591040895910409,0.9592040795920408,0.9592040795920408,0.9592040795920408,0.9593040695930407,0.9595040495950405,0.9595040495950405,0.9596040395960403,0.9596040395960403,0.9596040395960403,0.9597040295970403,0.9598040195980402,0.9598040195980402,0.9599040095990401,0.9603039696030397,0.9605039496050395,0.960903909609039,0.961003899610039,0.9618038196180382,0.9624037596240376,0.9628037196280372,0.9632036796320368,0.9637036296370363,0.9644035596440356,0.9649035096490352,0.9655034496550345,0.9658034196580342,0.9663033696630337,0.9669033096690332,0.9673032696730327,0.9681031896810319,0.9688031196880312,0.9697030296970303,0.9706029397060294,0.972002799720028,0.9729027097290271,0.9739026097390261,0.9748025197480252,0.9764023597640236,0.9774022597740226,0.9785021497850215,0.9796020397960205,0.9809019098090191,0.9815018498150185,0.9824017598240176,0.9829017098290171,0.9835016498350165,0.985001499850015,0.9861013898610139,0.9868013198680132,0.9876012398760124,0.9884011598840116,0.9895010498950105,0.9903009699030098,0.9911008899110089,0.9914008599140086,0.9921007899210079,0.9924007599240076,0.9928007199280072,0.9933006699330067,0.9936006399360064,0.9938006199380062,0.9942005799420058,0.9945005499450055,0.9945005499450055,0.9949005099490051,0.9953004699530047,0.9955004499550045,0.9958004199580042,0.9961003899610039,0.9964003599640036,0.9966003399660034,0.9968003199680032,0.997000299970003,0.9971002899710029,0.9971002899710029,0.9976002399760024,0.9977002299770023,0.9978002199780022,0.9981001899810019,0.9984001599840016,0.9984001599840016,0.9985001499850015,0.9986001399860014,0.9986001399860014,0.9986001399860014,0.9986001399860014,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9989001099890011,0.9989001099890011,0.999000099990001,0.999000099990001,0.9991000899910009,0.9991000899910009,0.9991000899910009,0.9992000799920008,0.9992000799920008,0.9992000799920008,0.9992000799920008,0.9992000799920008,0.9994000599940006,0.9995000499950005,0.9995000499950005,0.9995000499950005,0.9995000499950005,0.9995000499950005,0.9996000399960004,0.9996000399960004,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9998000199980002,0.9998000199980002,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
@@TPR,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.959004099590041,0.9591040895910409,0.9591040895910409,0.9592040795920408,0.9592040795920408,0.9592040795920408,0.9593040695930407,0.9595040495950405,0.9595040495950405,0.9596040395960403,0.9596040395960403,0.9596040395960403,0.9597040295970403,0.9598040195980402,0.9598040195980402,0.9599040095990401,0.9603039696030397,0.9605039496050395,0.960903909609039,0.961003899610039,0.9618038196180382,0.9624037596240376,0.9628037196280372,0.9632036796320368,0.9637036296370363,0.9644035596440356,0.9649035096490352,0.9655034496550345,0.9658034196580342,0.9663033696630337,0.9669033096690332,0.9673032696730327,0.9681031896810319,0.9688031196880312,0.9697030296970303,0.9706029397060294,0.972002799720028,0.9729027097290271,0.9739026097390261,0.9748025197480252,0.9764023597640236,0.9774022597740226,0.9785021497850215,0.9796020397960205,0.9809019098090191,0.9815018498150185,0.9824017598240176,0.9829017098290171,0.9835016498350165,0.985001499850015,0.9861013898610139,0.9868013198680132,0.9876012398760124,0.9884011598840116,0.9895010498950105,0.9903009699030098,0.9911008899110089,0.9914008599140086,0.9921007899210079,0.9924007599240076,0.9928007199280072,0.9933006699330067,0.9936006399360064,0.9938006199380062,0.9942005799420058,0.9945005499450055,0.9945005499450055,0.9949005099490051,0.9953004699530047,0.9955004499550045,0.9958004199580042,0.9961003899610039,0.9964003599640036,0.9966003399660034,0.9968003199680032,0.997000299970003,0.9971002899710029,0.9971002899710029,0.9976002399760024,0.9977002299770023,0.9978002199780022,0.9981001899810019,0.9984001599840016,0.9984001599840016,0.9985001499850015,0.9986001399860014,0.9986001399860014,0.9986001399860014,0.9986001399860014,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9988001199880012,0.9989001099890011,0.9989001099890011,0.999000099990001,0.999000099990001,0.9991000899910009,0.9991000899910009,0.9991000899910009,0.9992000799920008,0.9992000799920008,0.9992000799920008,0.9992000799920008,0.9992000799920008,0.9994000599940006,0.9995000499950005,0.9995000499950005,0.9995000499950005,0.9995000499950005,0.9995000499950005,0.9996000399960004,0.9996000399960004,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9997000299970003,0.9998000199980002,0.9998000199980002,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
@@FPR,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17353321452283607,0.17355068665478562,0.17355068665478562,0.17356815878673515,0.17362057518258378,0.1736380473145333,0.1736729915784324,0.17369046371038194,0.17372540797428102,0.17372540797428102,0.17379529650207917,0.17388265716182688,0.17391760142572596,0.17395254568962504,0.17403990634937275,0.1741097948771709,0.1742320998008177,0.17430198832861585,0.1744417653842122,0.17456407030785898,0.17472131949540484,0.17507076213439565,0.1752280113219415,0.1755774539609323,0.17590942446797359,0.17632875563476255,0.17680050319740015,0.17702764091274417,0.1775168606073313,0.17802355243386797,0.17870496557990007,0.17935143446203305,0.18006779187196423,0.18080162141384493,0.18144809029597792,0.18211203131006046,0.18274102806024392,0.1841562707481567,0.18515218226928049,0.186654785616941,0.18789530698535836,0.18925813327742252,0.19035887759024356,0.19203620225739945,0.1938358318482021,0.19540832372366077,0.19701575986301847,0.19897263864136702,0.20122654366285775,0.2033581437607017,0.20573435370583917,0.20776112101198588,0.21031205227661878,0.21293287206904987,0.21537897054198554,0.21829681657755878,0.22086521997414124,0.22376559387776496,0.22675332844113638,0.2296537023447601,0.23281615822762694,0.23632805674948457,0.24011950938253485,0.24357899150854387,0.24742286053744278,0.2508823426634518,0.2543767690533599,0.2583953594017542,0.26204703497920817,0.2663626515707447,0.27048607471083624,0.27438236013558376,0.27866303246322116,0.2827864556033127,0.2867701016878079,0.2907712199042527,0.2950344200999406,0.2987909284690918,0.30303665653283013,0.30740468952021527,0.3121745815424398,0.3171366670161093,0.32145228360764583,0.32665897892860885,0.33209281196491597,0.33646084495230105,0.34131809763427334,0.3464898486913373,0.3514344620330573,0.35634413111087815,0.36160324282768985,0.367072020127896,0.37248838103225357,0.37793968620051016,0.3832512143131705,0.38842296537023446,0.3942936017052801,0.39993710032498164,0.404829297270853,0.4100884089876647,0.4156969633434672,0.4208162980046825,0.4263200195687878,0.43187615752874164,0.43713526924555335,0.4425691022818604,0.44775832547087396,0.45322710277108014,0.45902785057832757,0.46423454589929064,0.46951112974805187,0.4749274906524094,0.47990704825802843,0.48492155012754656,0.49018066184435827,0.49482824894293603,0.5002096655833945,0.5052066953209631,0.5105531676975225,0.515515253171192,0.5203375615892651,0.5254568962504805,0.5307858964950903,0.5357829262326589,0.5403955690673375,0.5453401824090576,0.5501275465632316,0.5553866582800433,0.560191494566167,0.5650487472481392,0.5698885277981619,0.5749903903274277,0.5798825872732991,0.584827200615019,0.5895097319774959,0.5941398469441241,0.5986826012510047,0.6029982178425412,0.6076458049411189,0.6120313100604535,0.6166614250270818,0.6210993465422651,0.6256071565852466,0.6302197994199252,0.634482999615613,0.6385714784918056,0.6427822622916448,0.6469755739595345,0.6507495544606353,0.6547157284131809,0.6591012335325156,0.6625781877904742,0.6664395289513226,0.6703882307719188,0.6744417653842122,0.6788272705035469,0.6823391690254045,0.6860956773945557,0.6902016284026977,0.6937484711884544,0.6975748680854038,0.7012789600587064,0.7049131635042107,0.708477478421917,0.7118670720201279,0.7152042492224902,0.7186113149526505,0.7218960757591641,0.7253905021490722,0.7285879022958381,0.7315756368592096,0.7349128140615718,0.7376734109095991,0.7408183946605165,0.7440332669392319

