TP,9375,9516,9575,9636,9686,9731,9761,9794,9830,9861,9883,9901,9914,9925,9935,9949,9955,9963,9965,9974,9980,9983,9983,9989,9990,9991,9992,9993,9993,9993,9994,9995,9995,9995,9995,9995,9996,9998,9999,10000,10000,10000,10000,10000,10000,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
FP,0,333,509,708,905,1139,1419,1689,1992,2312,2663,3035,3405,3802,4206,4650,5098,5573,6057,6613,7151,7743,8320,8862,9485,10105,10732,11344,12015,12642,13359,14039,14696,15378,16105,16830,17490,18230,18966,19638,20354,21088,21819,22537,23206,23855,24536,25215,25926,26598,27280,27922,28584,29224,29818,30428,31043,31585,32171,32739,33274,33849,34306,34837,35325,35782,36257,36713,37173,37589,37982,38389,38745,39140,39506,39867,40230,40547,40859,41200,41533,41817,42119,42425,42717,42982,43229,43463,43713,43928,44166,44390,44606,44811,45005,45187,45375,45573,45748,45922,46085,46213,46381,46513,46686,46817,46940,47064,47182,47304,47411,47530,47625,47746,47866,47962,48050,48132,48236,48338,48412,48495,48581,48658,48727,48798,48873,48937,49002,49079,49142,49223,49283,49339,49390,49458,49527,49578,49626,49685,49724,49788,49830,49873,49902,49942,49977,50013,50056,50084,50113,50138,50163,50194,50224,50259,50288,50315,50346,50375,50394,50421,50449,50474,50496,50522,50556,50574,50595,50608,50627,50645,50664,50685,50698,50715,50730,50743,50761,50774,50788,50811,50834,50847,50857,50872,50882,50895,50903,50918,50928,50948,50966,50975,50989,50999,51013,51023,51030,51040
TN,51629,51296,51120,50921,50724,50490,50210,49940,49637,49317,48966,48594,48224,47827,47423,46979,46531,46056,45572,45016,44478,43886,43309,42767,42144,41524,40897,40285,39614,38987,38270,37590,36933,36251,35524,34799,34139,33399,32663,31991,31275,30541,29810,29092,28423,27774,27093,26414,25703,25031,24349,23707,23045,22405,21811,21201,20586,20044,19458,18890,18355,17780,17323,16792,16304,15847,15372,14916,14456,14040,13647,13240,12884,12489,12123,11762,11399,11082,10770,10429,10096,9812,9510,9204,8912,8647,8400,8166,7916,7701,7463,7239,7023,6818,6624,6442,6254,6056,5881,5707,5544,5416,5248,5116,4943,4812,4689,4565,4447,4325,4218,4099,4004,3883,3763,3667,3579,3497,3393,3291,3217,3134,3048,2971,2902,2831,2756,2692,2627,2550,2487,2406,2346,2290,2239,2171,2102,2051,2003,1944,1905,1841,1799,1756,1727,1687,1652,1616,1573,1545,1516,1491,1466,1435,1405,1370,1341,1314,1283,1254,1235,1208,1180,1155,1133,1107,1073,1055,1034,1021,1002,984,965,944,931,914,899,886,868,855,841,818,795,782,772,757,747,734,726,711,701,681,663,654,640,630,616,606,599,589
FN,626,485,426,365,315,270,240,207,171,140,118,100,87,76,66,52,46,38,36,27,21,18,18,12,11,10,9,8,8,8,7,6,6,6,6,6,5,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@@PR_threshold,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35000000000000003,0.36,0.37,0.38,0.39,0.4,0.41000000000000003,0.42,0.43,0.44,0.45,0.46,0.47000000000000003,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.5700000000000001,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.6900000000000001,0.7000000000000001,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.8200000000000001,0.8300000000000001,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.9400000000000001,0.9500000000000001,0.96,0.97,0.98,0.99,1.0,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.1300000000000001,1.1400000000000001,1.1500000000000001,1.16,1.17,1.18,1.19,1.2,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.3,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.3800000000000001,1.3900000000000001,1.4000000000000001,1.41,1.42,1.43,1.44,1.45,1.46,1.47,1.48,1.49,1.5,1.51,1.52,1.53,1.54,1.55,1.56,1.57,1.58,1.59,1.6,1.61,1.62,1.6300000000000001,1.6400000000000001,1.6500000000000001,1.6600000000000001,1.67,1.68,1.69,1.7,1.71,1.72,1.73,1.74,1.75,1.76,1.77,1.78,1.79,1.8,1.81,1.82,1.83,1.84,1.85,1.86,1.87,1.8800000000000001,1.8900000000000001,1.9000000000000001,1.9100000000000001,1.92,1.93,1.94,1.95,1.96,1.97,1.98,1.99
@@Precision,1.0,0.9661894608589705,0.949523998413328,0.931554524361949,0.9145500896988009,0.8952161913523459,0.8730769230769231,0.8529130018287904,0.8315005921163932,0.8100714696459377,0.7877411127052447,0.7653834260977118,0.7443501764396726,0.7230276098200626,0.7025670037479669,0.6814850332214535,0.6613299674483492,0.6412847579814624,0.6219573087005368,0.601314282269247,0.5825696106473645,0.5631840234683516,0.5454297109763426,0.5298923134051244,0.5129653401797176,0.4971636146496815,0.48214630380235474,0.46834137882551435,0.45406215921483095,0.44148442677269717,0.42795358198090183,0.41586918532079553,0.40480336964885993,0.39392267370827255,0.3829501915708812,0.37260018639328985,0.36367605326347957,0.3541873317273629,0.34520973588814086,0.3374046831770025,0.3294458720432233,0.32166752444673186,0.3142776328608693,0.3073424101791806,0.3011503945070168,0.29539815689981097,0.28957350088311085,0.2839902317128578,0.27837002811256156,0.2732588322085303,0.26825997156728626,0.26371858766447803,0.25919398730076454,0.2549649458253665,0.2511615058138075,0.2473719359865443,0.2436653347626937,0.24048958784206223,0.2371478706250593,0.23399625643425362,0.23110340843443097,0.22807297605473204,0.22572054077233847,0.22304741513894463,0.2206459868508141,0.21844352707336784,0.21620044100479918,0.21408999443421672,0.212002374189172,0.21014919100651397,0.20842798491132275,0.2066749328373631,0.20516555204529602,0.20351641195742862,0.2020118367099602,0.20054945054945056,0.19910015727339692,0.19785154704439345,0.1966378293354306,0.19532821624577645,0.1940660534792564,0.19300243158747926,0.19188411358403684,0.1907641246709648,0.1897075002845328,0.18875865843761205,0.18788277287244035,0.1870604518928625,0.18618982015861787,0.18544753286728846,0.18463270995255412,0.1838723318196025,0.18314501803798047,0.18246004524556667,0.18181652910591573,0.18121693121693122,0.1806017047096215,0.1799582538597186,0.1793933523471273,0.17883518409241278,0.1783154441393574,0.17790941758280857,0.17737930545209463,0.1769649998230527,0.17642492987810257,0.17601816325812242,0.17563794102667674,0.17525628669061596,0.1748946365178462,0.17452229299363056,0.17419703197937714,0.17383671411934434,0.17355013362024085,0.17318648587805427,0.17282734546459985,0.1725411038076014,0.17227954729462025,0.1720365369067483,0.1717293129797208,0.17142906117691425,0.1712118877647099,0.17096895514223195,0.17071796797651156,0.17049387135818886,0.1702935567361395,0.17008792666541947,0.16987125046709922,0.16968678950761817,0.1694998559395285,0.16927894380501016,0.16909862536563922,0.16886735107388898,0.1686964442345321,0.16853724300640377,0.16839251738478894,0.16819993609041525,0.16800497244993953,0.16786115913325164,0.16772603015412482,0.1675602318801729,0.16745081624110505,0.16727157169378984,0.16715415085825075,0.1670341049537362,0.16695324107306814,0.16684183307475434,0.1667444729734236,0.16664444962842004,0.16652513445560052,0.16644753266206208,0.16636723558572047,0.1662980761236469,0.16622897413735788,0.16614336738931804,0.16606060606060605,0.1659641553269167,0.16588432384016985,0.165810066980569,0.16572489104677945,0.16564528951901417,0.16559317824323205,0.1655191817549899,0.16544251447477254,0.16537412153782555,0.16531398251152948,0.1652429654841961,0.1651501890780587,0.16510111432108956,0.16504389728694963,0.16500849708789123,0.16495678564359703,0.16490782574283547,0.1648561773675101,0.16479912994759913,0.16476383465954958,0.16471770208841163,0.16467701832671947,0.1646417753193731,0.1645930022053257,0.16455779514603044,0.1645198966918357,0.16445767282773138,0.16439549601380785,0.1643603733894294,0.16433336619672023,0.16429287204507745,0.16426588702922,0.16423081975827641,0.1642092473400762,0.16416881432722139,0.16414187004546274,0.16408800800669412,0.16403956238620893,0.16401535030175807,0.16397770126250205,0.16395081967213115,0.16391320024912315,0.16388633980073414,0.16386754272418935,0.1638406972362838
@@Recall,0.9374062593740626,0.9515048495150485,0.9574042595740426,0.9635036496350365,0.9685031496850315,0.973002699730027,0.976002399760024,0.9793020697930207,0.9829017098290171,0.986001399860014,0.9882011798820118,0.99000099990001,0.9913008699130087,0.9924007599240076,0.9934006599340066,0.9948005199480052,0.9954004599540046,0.9962003799620038,0.9964003599640036,0.9973002699730027,0.9979002099790021,0.9982001799820018,0.9982001799820018,0.9988001199880012,0.9989001099890011,0.999000099990001,0.9991000899910009,0.9992000799920008,0.9992000799920008,0.9992000799920008,0.9993000699930007,0.9994000599940006,0.9994000599940006,0.9994000599940006,0.9994000599940006,0.9994000599940006,0.9995000499950005,0.9997000299970003,0.9998000199980002,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
@@TPR,0.9374062593740626,0.9515048495150485,0.9574042595740426,0.9635036496350365,0.9685031496850315,0.973002699730027,0.976002399760024,0.9793020697930207,0.9829017098290171,0.986001399860014,0.9882011798820118,0.99000099990001,0.9913008699130087,0.9924007599240076,0.9934006599340066,0.9948005199480052,0.9954004599540046,0.9962003799620038,0.9964003599640036,0.9973002699730027,0.9979002099790021,0.9982001799820018,0.9982001799820018,0.9988001199880012,0.9989001099890011,0.999000099990001,0.9991000899910009,0.9992000799920008,0.9992000799920008,0.9992000799920008,0.9993000699930007,0.9994000599940006,0.9994000599940006,0.9994000599940006,0.9994000599940006,0.9994000599940006,0.9995000499950005,0.9997000299970003,0.9998000199980002,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
@@FPR,0.0,0.006449863448836894,0.009858800286660597,0.013713223188518081,0.017528908171763932,0.02206124464932499,0.027484553254953612,0.032714172267524065,0.038582966937186464,0.044781033915047744,0.05157953863138934,0.05878479149315307,0.06595130643630517,0.07364078328071433,0.08146584284026419,0.09006566077204672,0.09874295454105252,0.10794321021131535,0.11731778651533054,0.12808692788936452,0.13850742799589377,0.14997385190493714,0.16114974142439326,0.1716477173681458,0.18371457901566948,0.1957233337852757,0.20786767127002267,0.21972147436518236,0.23271804605938523,0.24486238354413217,0.2587499273664026,0.27192081969435783,0.28464622595827926,0.2978558562048461,0.3119370896201747,0.3259795851168917,0.3387630982587306,0.35309612814503477,0.36735168219411574,0.3803676228476244,0.39423579771058903,0.4084526138410583,0.42261132309361016,0.4365182358751864,0.4494760696507777,0.46204652424025255,0.4752367855275136,0.488388308896163,0.5021596389625985,0.5151755796161073,0.5283852098626741,0.5408200817370082,0.5536423327974588,0.5660384667531814,0.5775436285808363,0.5893586937573844,0.6012706037304616,0.611768579674214,0.6231187898274225,0.6341203587131263,0.6444827519417382,0.6556199035425827,0.6644715179453408,0.6747564353367294,0.6842084874779678,0.693060101880726,0.7022603575509888,0.7110926029944411,0.7200023242751167,0.7280598113463363,0.7356718123535222,0.7435549787909895,0.7504503283038603,0.7581010672296578,0.7651901063355866,0.7721823006449864,0.7792132328729977,0.7853531929729416,0.7913963082763563,0.7980011233996397,0.8044509868484766,0.8099517712913286,0.8158011970016851,0.821728098549265,0.8273838346665634,0.8325166088826047,0.8373007418311414,0.8418330783087025,0.8466753181351566,0.8508396443859071,0.8554494567006915,0.8597881035851944,0.8639717987952508,0.8679424354529431,0.8717000135582715,0.8752251641519301,0.8788665285014237,0.8827015824439752,0.8860911503224932,0.8894613492417053,0.8926184896085533,0.8950977163996978,0.898351701563075,0.9009084041914428,0.904259234151349,0.906796567820411,0.9091789498150264,0.9115807007689477,0.913866237967034,0.9162292510023436,0.918301729648066,0.9206066358054582,0.9224466869395107,0.9247903310155146,0.9271146061322125,0.9289740262255709,0.9306784946444827,0.9322667493075597,0.9342811210753647,0.936256754924558,0.9376900579131884,0.9392976815355711,0.9409634120358713,0.9424548219024191,0.9437912800945205,0.9451664762052335,0.9466191481531697,0.9478587615487419,0.94911774390362,0.950609153770168,0.9518293982064344,0.9533982839102055,0.9545604214685545,0.9556450831896802,0.9566329001142768,0.9579499893470724,0.9592864475391737,0.9602742644637704,0.9612039745104496,0.9623467431094928,0.9631021325224196,0.9643417459179918,0.9651552422088361,0.9659881074589862,0.9665498072788549,0.9673245656510876,0.9680024792267912,0.9686997617618005,0.9695326270119506,0.9700749578725135,0.9706366576923822,0.9711208816750276,0.971605105657673,0.9722055433961533,0.9727866121753278,0.9734645257510314,0.9740262255709001,0.9745491874721571,0.9751496252106374,0.9757113250305061,0.9760793352573166,0.9766022971585737,0.9771446280191365,0.977628852001782,0.9780549691065099,0.9785585620484611,0.979217106664859,0.9795657479323636,0.9799724960777857,0.9802242925487613,0.9805923027755719,0.9809409440430765,0.9813089542698871,0.9817157024153093,0.9819674988862849,0.9822967711944838,0.9825873055840709,0.9828391020550465,0.9831877433225513,0.9834395397935269,0.9837107052238083,0.9841561912878422,0.9846016773518759,0.9848534738228515,0.9850471634159097,0.985337697805497,0.9855313873985551,0.9857831838695307,0.9859381355439772,0.9862286699335645,0.9864223595266226,0.9868097387127389,0.9871583799802437,0.987332700613996,0.9876038660442774,0.9877975556373356,0.988068721067617,0.9882624106606752,0.9883979933758159,0.9885916829688741

