TP,9622,9622,9622,9622,9622,9623,9623,9625,9625,9625,9627,9627,9629,9630,9635,9636,9637,9638,9638,9640,9642,9645,9648,9654,9658,9669,9680,9687,9696,9705,9713,9723,9730,9738,9745,9755,9766,9776,9790,9796,9802,9813,9821,9833,9839,9853,9862,9870,9877,9885,9889,9896,9903,9908,9913,9922,9927,9930,9932,9941,9943,9945,9947,9949,9954,9957,9961,9963,9967,9970,9973,9974,9975,9976,9980,9981,9981,9984,9986,9987,9988,9988,9988,9991,9991,9991,9991,9992,9995,9995,9996,9997,9997,9998,9998,9999,9999,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
FP,6350,6350,6350,6350,6350,6350,6350,6350,6350,6350,6350,6350,6350,6351,6351,6351,6351,6352,6352,6352,6352,6354,6354,6361,6363,6369,6373,6373,6377,6381,6385,6387,6394,6401,6410,6420,6434,6444,6456,6470,6486,6510,6539,6563,6587,6616,6650,6683,6719,6756,6788,6837,6881,6925,6964,7013,7069,7143,7221,7291,7350,7423,7496,7579,7647,7719,7811,7899,8008,8121,8220,8328,8433,8541,8641,8743,8847,8975,9102,9233,9364,9479,9599,9735,9866,9998,10148,10287,10422,10552,10675,10821,10970,11092,11219,11376,11525,11676,11822,11961,12097,12257,12390,12545,12703,12848,12993,13119,13249,13390,13547,13689,13825,13973,14112,14262,14395,14551,14679,14810,14936,15069,15205,15320,15441,15550,15693,15832,15960,16083,16213,16330,16467,16608,16748,16840,16959,17083,17197,17301,17418,17532,17632,17743,17851,17932,18029,18143,18238,18339,18429,18528,18644,18750,18844,18927,19018,19108,19193,19284,19373,19444,19526,19607,19698,19775,19853,19919,19988,20068,20139,20205,20262,20331,20400,20479,20553,20605,20673,20747,20801,20876,20945,21007,21067,21126,21176,21224,21288,21356
TN,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18443,18443,18443,18443,18442,18442,18442,18442,18440,18440,18433,18431,18425,18421,18421,18417,18413,18409,18407,18400,18393,18384,18374,18360,18350,18338,18324,18308,18284,18255,18231,18207,18178,18144,18111,18075,18038,18006,17957,17913,17869,17830,17781,17725,17651,17573,17503,17444,17371,17298,17215,17147,17075,16983,16895,16786,16673,16574,16466,16361,16253,16153,16051,15947,15819,15692,15561,15430,15315,15195,15059,14928,14796,14646,14507,14372,14242,14119,13973,13824,13702,13575,13418,13269,13118,12972,12833,12697,12537,12404,12249,12091,11946,11801,11675,11545,11404,11247,11105,10969,10821,10682,10532,10399,10243,10115,9984,9858,9725,9589,9474,9353,9244,9101,8962,8834,8711,8581,8464,8327,8186,8046,7954,7835,7711,7597,7493,7376,7262,7162,7051,6943,6862,6765,6651,6556,6455,6365,6266,6150,6044,5950,5867,5776,5686,5601,5510,5421,5350,5268,5187,5096,5019,4941,4875,4806,4726,4655,4589,4532,4463,4394,4315,4241,4189,4121,4047,3993,3918,3849,3787,3727,3668,3618,3570,3506,3438
FN,379,379,379,379,379,378,378,376,376,376,374,374,372,371,366,365,364,363,363,361,359,356,353,347,343,332,321,314,305,296,288,278,271,263,256,246,235,225,211,205,199,188,180,168,162,148,139,131,124,116,112,105,98,93,88,79,74,71,69,60,58,56,54,52,47,44,40,38,34,31,28,27,26,25,21,20,20,17,15,14,13,13,13,10,10,10,10,9,6,6,5,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@@PR_threshold,0.1,0.11,0.12,0.13,0.13999999999999999,0.14999999999999997,0.15999999999999998,0.16999999999999998,0.17999999999999997,0.18999999999999995,0.19999999999999996,0.20999999999999996,0.21999999999999995,0.22999999999999995,0.23999999999999994,0.24999999999999992,0.2599999999999999,0.2699999999999999,0.2799999999999999,0.2899999999999999,0.29999999999999993,0.30999999999999994,0.3199999999999999,0.32999999999999985,0.33999999999999986,0.34999999999999987,0.3599999999999999,0.3699999999999999,0.3799999999999999,0.3899999999999999,0.3999999999999998,0.4099999999999998,0.4199999999999998,0.4299999999999998,0.43999999999999984,0.44999999999999984,0.45999999999999985,0.46999999999999986,0.47999999999999976,0.48999999999999977,0.4999999999999998,0.5099999999999998,0.5199999999999998,0.5299999999999998,0.5399999999999998,0.5499999999999998,0.5599999999999997,0.5699999999999997,0.5799999999999997,0.5899999999999997,0.5999999999999998,0.6099999999999998,0.6199999999999998,0.6299999999999997,0.6399999999999997,0.6499999999999997,0.6599999999999997,0.6699999999999997,0.6799999999999997,0.6899999999999997,0.6999999999999996,0.7099999999999996,0.7199999999999996,0.7299999999999996,0.7399999999999997,0.7499999999999997,0.7599999999999997,0.7699999999999997,0.7799999999999997,0.7899999999999996,0.7999999999999996,0.8099999999999996,0.8199999999999996,0.8299999999999996,0.8399999999999996,0.8499999999999996,0.8599999999999995,0.8699999999999996,0.8799999999999996,0.8899999999999996,0.8999999999999996,0.9099999999999996,0.9199999999999996,0.9299999999999996,0.9399999999999996,0.9499999999999995,0.9599999999999995,0.9699999999999995,0.9799999999999995,0.9899999999999995,0.9999999999999996,1.0099999999999996,1.0199999999999996,1.0299999999999996,1.0399999999999996,1.0499999999999996,1.0599999999999996,1.0699999999999996,1.0799999999999996,1.0899999999999996,1.0999999999999996,1.1099999999999997,1.1199999999999997,1.1299999999999997,1.1399999999999997,1.1499999999999995,1.1599999999999995,1.1699999999999995,1.1799999999999995,1.1899999999999995,1.1999999999999995,1.2099999999999995,1.2199999999999995,1.2299999999999995,1.2399999999999995,1.2499999999999996,1.2599999999999996,1.2699999999999996,1.2799999999999996,1.2899999999999996,1.2999999999999994,1.3099999999999994,1.3199999999999994,1.3299999999999994,1.3399999999999994,1.3499999999999994,1.3599999999999994,1.3699999999999994,1.3799999999999994,1.3899999999999995,1.3999999999999995,1.4099999999999995,1.4199999999999995,1.4299999999999995,1.4399999999999995,1.4499999999999995,1.4599999999999995,1.4699999999999993,1.4799999999999993,1.4899999999999993,1.4999999999999993,1.5099999999999993,1.5199999999999994,1.5299999999999994,1.5399999999999994,1.5499999999999994,1.5599999999999994,1.5699999999999994,1.5799999999999994,1.5899999999999994,1.5999999999999994,1.6099999999999994,1.6199999999999992,1.6299999999999992,1.6399999999999992,1.6499999999999992,1.6599999999999993,1.6699999999999993,1.6799999999999993,1.6899999999999993,1.6999999999999993,1.7099999999999993,1.7199999999999993,1.7299999999999993,1.7399999999999993,1.7499999999999993,1.7599999999999993,1.7699999999999994,1.7799999999999994,1.7899999999999991,1.7999999999999992,1.8099999999999992,1.8199999999999992,1.8299999999999992,1.8399999999999992,1.8499999999999992,1.8599999999999992,1.8699999999999992,1.8799999999999992,1.8899999999999992,1.8999999999999992,1.9099999999999993,1.9199999999999993,1.9299999999999993,1.939999999999999,1.949999999999999,1.959999999999999,1.969999999999999,1.979999999999999,1.989999999999999
@@Precision,0.6024292511895818,0.6024292511895818,0.6024292511895818,0.6024292511895818,0.6024292511895818,0.602454141363551,0.602454141363551,0.6025039123630673,0.6025039123630673,0.6025039123630673,0.6025536709019215,0.6025536709019215,0.6026034169847926,0.6025905763093674,0.6027148755160766,0.6027397260273972,0.6027645734300725,0.6027517198248905,0.6027517198248905,0.6028014007003502,0.6028510691509316,0.6028501781361335,0.6029246344206974,0.6028098657508586,0.60283378066288,0.602880658436214,0.6030025540397433,0.6031755915317559,0.6032476824488272,0.603319656844461,0.6033668778730277,0.6035381750465549,0.603448275862069,0.6033831092384906,0.6032188177034974,0.6030911901081917,0.6028395061728395,0.6027127003699136,0.6026098731995568,0.6022377966310095,0.6017927308447937,0.6011762543650064,0.6003056234718827,0.5997194437667723,0.5989894070376233,0.5982755479992714,0.5972625968992248,0.5962665377877122,0.5951434080501325,0.5940147827654588,0.5929723571385741,0.5914062033108229,0.5900262154432793,0.5886057149646527,0.5873674231202228,0.5858872158252141,0.5840786067309955,0.5816201019153049,0.5790240774208594,0.5768918291550603,0.574972532238478,0.5726047904191617,0.5702574098492231,0.5676061159287996,0.5655360490881199,0.563306177868296,0.5604884087328381,0.5577762848505207,0.5544923504867872,0.5511027582775966,0.5481778706095751,0.5449677630860015,0.541883963494133,0.5387481773505427,0.5359540303957897,0.5330591753898739,0.530114722753346,0.5266100532728519,0.5231559094719195,0.5196149843912591,0.5161223646134766,0.5130734062772898,0.5099300556491551,0.5064888979012471,0.5031475046583069,0.49982490369703336,0.496102090471225,0.49272646580206125,0.4895430278689328,0.4864457098359858,0.48357602438198444,0.4802094341435296,0.47679687127390663,0.47406353722143196,0.47122590375642176,0.46778947368421053,0.46455119866195876,0.46133973057759736,0.4582531390340024,0.45535267064341334,0.45255011992578176,0.44929685042907846,0.4466279589102278,0.4435573297848747,0.4404704224111351,0.4376750700280112,0.43491497412255903,0.4325446602361694,0.4301260269258893,0.4275331338178709,0.424682549794029,0.4221368567689645,0.4197271773347324,0.41713594460434655,0.41473125414731254,0.4121671750061825,0.4099200655872105,0.4073153843020651,0.4052028040034037,0.4030632809351068,0.40102662816811036,0.39889903865331683,0.3967466772465781,0.3949447077409163,0.3930663102865453,0.3913894324853229,0.3892348408188682,0.3871404792319901,0.38523169369438776,0.3834151203803098,0.38151369497215226,0.37981846492727206,0.37785250113344415,0.3758502762223308,0.3738831358181614,0.37260161692932453,0.37095697329376853,0.36925860286516027,0.3677108610927274,0.3663101604278075,0.36474707319741784,0.363236843061054,0.36192233923207756,0.36047433679354096,0.35907654746517303,0.35803529875058177,0.35679628968961824,0.3553510517339397,0.3541556004107794,0.352893436838391,0.3517762926486106,0.35055557502891793,0.34913597486472336,0.3478487704775486,0.346715201941411,0.3457204092920354,0.3446362727867949,0.34357071696039027,0.3425703911762691,0.34150589038757045,0.34047116497582897,0.3396501952793344,0.33870694618484776,0.33778032964063764,0.3367453449611098,0.33587452982267596,0.3349969853285992,0.3342580213903743,0.3334889459468472,0.3326016827962353,0.33181818181818185,0.33109316029927827,0.33046955027591446,0.3297177897929579,0.3289694417946778,0.3281167979002625,0.3273221182169274,0.3267659935960269,0.32604159874812544,0.3252569272798231,0.3246867086552821,0.32389804709006703,0.32317585471466426,0.3225296697626419,0.3219067851165186,0.3212966235101359,0.3207813452224396,0.3202882305844676,0.3196330978938285,0.3189399496125267
@@Recall,0.9621037896210379,0.9621037896210379,0.9621037896210379,0.9621037896210379,0.9621037896210379,0.9622037796220378,0.9622037796220378,0.9624037596240376,0.9624037596240376,0.9624037596240376,0.9626037396260374,0.9626037396260374,0.9628037196280372,0.962903709629037,0.9634036596340366,0.9635036496350365,0.9636036396360363,0.9637036296370363,0.9637036296370363,0.9639036096390361,0.9641035896410359,0.9644035596440356,0.9647035296470353,0.9653034696530347,0.9657034296570343,0.9668033196680332,0.9679032096790321,0.9686031396860314,0.9695030496950305,0.9704029597040296,0.9712028797120288,0.9722027797220278,0.9729027097290271,0.9737026297370263,0.9744025597440256,0.9754024597540246,0.9765023497650235,0.9775022497750225,0.9789021097890211,0.9795020497950205,0.9801019898010199,0.9812018798120188,0.982001799820018,0.9832016798320168,0.9838016198380162,0.9852014798520148,0.9861013898610139,0.9869013098690131,0.9876012398760124,0.9884011598840116,0.9888011198880112,0.9895010498950105,0.9902009799020098,0.9907009299070093,0.9912008799120088,0.9921007899210079,0.9926007399260074,0.9929007099290071,0.9931006899310069,0.994000599940006,0.9942005799420058,0.9944005599440056,0.9946005399460054,0.9948005199480052,0.9953004699530047,0.9956004399560044,0.996000399960004,0.9962003799620038,0.9966003399660034,0.9969003099690031,0.9972002799720028,0.9973002699730027,0.9974002599740026,0.9975002499750025,0.9979002099790021,0.998000199980002,0.998000199980002,0.9983001699830018,0.9985001499850015,0.9986001399860014,0.9987001299870013,0.9987001299870013,0.9987001299870013,0.999000099990001,0.999000099990001,0.999000099990001,0.999000099990001,0.9991000899910009,0.9994000599940006,0.9994000599940006,0.9995000499950005,0.9996000399960004,0.9996000399960004,0.9997000299970003,0.9997000299970003,0.9998000199980002,0.9998000199980002,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
@@TPR,0.9621037896210379,0.9621037896210379,0.9621037896210379,0.9621037896210379,0.9621037896210379,0.9622037796220378,0.9622037796220378,0.9624037596240376,0.9624037596240376,0.9624037596240376,0.9626037396260374,0.9626037396260374,0.9628037196280372,0.962903709629037,0.9634036596340366,0.9635036496350365,0.9636036396360363,0.9637036296370363,0.9637036296370363,0.9639036096390361,0.9641035896410359,0.9644035596440356,0.9647035296470353,0.9653034696530347,0.9657034296570343,0.9668033196680332,0.9679032096790321,0.9686031396860314,0.9695030496950305,0.9704029597040296,0.9712028797120288,0.9722027797220278,0.9729027097290271,0.9737026297370263,0.9744025597440256,0.9754024597540246,0.9765023497650235,0.9775022497750225,0.9789021097890211,0.9795020497950205,0.9801019898010199,0.9812018798120188,0.982001799820018,0.9832016798320168,0.9838016198380162,0.9852014798520148,0.9861013898610139,0.9869013098690131,0.9876012398760124,0.9884011598840116,0.9888011198880112,0.9895010498950105,0.9902009799020098,0.9907009299070093,0.9912008799120088,0.9921007899210079,0.9926007399260074,0.9929007099290071,0.9931006899310069,0.994000599940006,0.9942005799420058,0.9944005599440056,0.9946005399460054,0.9948005199480052,0.9953004699530047,0.9956004399560044,0.996000399960004,0.9962003799620038,0.9966003399660034,0.9969003099690031,0.9972002799720028,0.9973002699730027,0.9974002599740026,0.9975002499750025,0.9979002099790021,0.998000199980002,0.998000199980002,0.9983001699830018,0.9985001499850015,0.9986001399860014,0.9987001299870013,0.9987001299870013,0.9987001299870013,0.999000099990001,0.999000099990001,0.999000099990001,0.999000099990001,0.9991000899910009,0.9994000599940006,0.9994000599940006,0.9995000499950005,0.9996000399960004,0.9996000399960004,0.9997000299970003,0.9997000299970003,0.9998000199980002,0.9998000199980002,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.9999000099990001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
@@FPR,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.25611034927805115,0.2561506816165201,0.2561506816165201,0.2561506816165201,0.2561506816165201,0.2561910139549891,0.2561910139549891,0.2561910139549891,0.2561910139549891,0.25627167863192707,0.25627167863192707,0.25655400500120995,0.25663466967814796,0.25687666370896184,0.2570379930628378,0.2570379930628378,0.2571993224167137,0.25736065177058964,0.2575219811244656,0.2576026458014036,0.25788497217068646,0.25816729853996934,0.25853028958619023,0.2589336129708801,0.25949826570944584,0.2599015890941357,0.2603855771557635,0.26095022989432926,0.26159554730983303,0.26256352343308864,0.2637331612486892,0.26470113737194484,0.26566911349520045,0.266838751310801,0.2682100508187465,0.26954101798822294,0.2709929821731064,0.27248527869645883,0.27377591352746633,0.27575219811244656,0.27752682100508186,0.2793014438977172,0.2808744050980076,0.2828506896829878,0.28510930063725093,0.28809389368395577,0.2912398160845366,0.2940630797773655,0.2964426877470356,0.2993869484552714,0.3023312091635073,0.305678793256433,0.30842139227232396,0.31132532064209084,0.3150358957812374,0.318585141566508,0.32298136645962733,0.32753892070662255,0.331531822215052,0.33588771476970236,0.3401226103089457,0.34447850286359605,0.34851173671049446,0.3526256352343309,0.35682019843510526,0.36198273775913525,0.3671049447446963,0.37238848108413325,0.3776720174235702,0.38231023634750344,0.38715011696378154,0.3926353149955634,0.3979188513350004,0.40324272001290634,0.40929257078325404,0.41489876583044283,0.42034363152375576,0.4255868355247237,0.43054771315640883,0.43643623457288055,0.4424457530047592,0.4473662982979753,0.45248850528353635,0.45882068242316687,0.46483020085504556,0.4709203839638622,0.47680890538033394,0.4824151004275228,0.48790029845930466,0.4943534726143422,0.4997176736307171,0.5059691860934097,0.5123416955715092,0.518189884649512,0.5240380737275148,0.5291199483746067,0.5343631523755747,0.5400500120997015,0.5463821892393321,0.5521093813019279,0.5575945793337098,0.5635637654271195,0.5691699604743083,0.5752198112446559,0.5805840122610308,0.5868758570621925,0.5920383963862225,0.5973219327256595,0.6024038073727515,0.6077680083891264,0.6132532064209083,0.6178914253448415,0.6227716382995886,0.6271678631927079,0.6329353875937727,0.6385415826409615,0.6437041219649915,0.6486649995966766,0.6539082035976446,0.6586270871985158,0.6641526175687666,0.6698394772928934,0.6754860046785512,0.6791965798176979,0.683996128095507,0.6889973380656611,0.6935952246511252,0.6977897878518996,0.7025086714527708,0.7071065580382351,0.7111397918851335,0.7156166814551908,0.719972574009841,0.7232394934258288,0.7271517302573203,0.7317496168427845,0.735581188997338,0.7396547551827055,0.7432846656449141,0.7472775671533436,0.7519561184157457,0.7562313462934581,0.7600225861095427,0.7633701702024683,0.767040413003146,0.7706703234653545,0.7740985722352182,0.7777688150358958,0.7813583931596354,0.7842219891909333,0.78752924094539,0.7907961603613778,0.7944664031620553,0.7975719932241672,0.8007179156247479,0.8033798499637009,0.8061627813180609,0.8093893683955796,0.8122529644268774,0.8149148987658305,0.8172138420585625,0.8199967734129224,0.8227797047672825,0.8259659595063322,0.8289505525530371,0.8310478341534242,0.8337904331693151,0.83677502621602,0.8389529724933452,0.841977897878519,0.8447608292328789,0.847261434217956,0.849681374526095,0.8520609824957651,0.8540775994192144,0.8560135516657256,0.8585948213277406,0.8613374203436315

